place_id,gdp_total,gdp_per_capita,gdp_growth,pop_density,gini,forest_area,co2_per_capita,internet_user,hdi,median_age,avg_temp
Tanzania,78844405385.2195,1186.71691894531,5.5263138305945,75.2061481146986,,50.0541883043576,,,,,
Belarus,75961865471.9129,8317.63399913792,4.00984852465452,45.217077292187,,43.4080686559958,,,,,
Azerbaijan,74315882352.9412,7283.8499076179,4.07140205008956,122.854906231095,,14.1119540229885,,,,,
Myanmar,74068349523.8095,1359.05001560107,-0.97204641363362,82.9420656687147,,42.4023779245254,,,,,
Slovenia,72972015197.3859,34301.0318686594,1.73139722479493,105.31480791676,,61.1748938389332,,,,,
Bolivia,54881327452.9667,4421.16609889999,-1.12335595517212,11.3026483891812,,46.3457431920982,,,,,
Uganda,53911907086.1525,1077.91278452817,6.05558075875589,242.65210951526,,11.0419703770197,,,,,
Jordan,53352289577.4648,4618.09592498567,2.48889409603647,128.828670856139,,1.09804716534901,,,,,
Cameroon,53296694320.2057,1830.00833684727,3.52472308052245,60.0213386642973,,42.6741130925938,,,,,
Turkmenistan,51387209872.2994,6856.65802730208,6.2994265836889,15.6713510522844,,8.78215904496414,,,,,
Tunisia,51332285656.5422,4181.13789301228,1.61444564976986,78.530065653965,,4.55278063851699,,,,,
Sudan,49672435513.1126,984.607666015625,-13.9643375197179,26.7895026766595,,9.55196466809422,,,,,
Libya,48487151215.345,6569.16408678648,1.89995052025442,4.15202780272117,,0.123327687918433,,,,,
Cambodia,46352647037.2406,2627.87969756224,5.97510939607335,98.7076818490823,,43.0619759800589,,,,,
Paraguay,44458118397.4445,6416.09708970845,4.24996010464072,17.282671943072,44.2,38.5449252640128,,,,,
Latvia,43684254432.3609,23409.0845154775,-0.0461080109713521,30.2701269484172,,54.9959826450265,,,,,
Estonia,43130419829.35,31428.3547816104,-0.0900428648493801,32.0684764802247,,57.0652937046572,,,,,
Nepal,42914268286.7109,1447.31004458428,3.66537430744967,207.147638646669,,41.5907220090687,,,,,
Zimbabwe,41539411516.4448,2497.20332208763,1.74239524880791,42.24071862479,,44.7366421093447,,,,,
Cyprus,37634533331.8902,38674.29296875,3.94077381708404,145.560173160173,,18.6655844155844,,,,,
Honduras,37093565854.0437,3426.43483328923,3.55397003296669,95.1367503798373,45.7,56.2732147645008,,,,,
Georgia,34189423544.9955,9241.49122313713,9.67979387500691,65.0037265124742,33.9,40.6159159591308,,,,,
Iceland,33255181468.9382,86040.5309851288,-0.970676468918384,3.82488346722206,,0.528744421303184,,,,,
Senegal,32808056600.9436,1773.21829923448,6.06055141198976,93.8948371682335,,41.2827091881785,,,,,
Papua New Guinea,31800428265.5246,3006.70564478923,3.79979560086888,22.9422669257607,,78.9541359360509,,,,,
